Date,Open,High,Low,Close,Volume
1-Apr-16,57.43,57.67,56.19,56.72,7398568
31-Mar-16,59.92,61.39,59.82,59.86,5735409
30-Mar-16,58.99,60.39,58.89,59.82,3399208
29-Mar-16,57.78,58.75,57.58,58.66,3214792
28-Mar-16,57.95,58.18,57.41,57.91,3395109
24-Mar-16,58.76,58.96,57.20,57.84,6618263
23-Mar-16,60.43,60.61,59.29,59.74,4016363
22-Mar-16,59.51,60.96,59.41,60.49,4464046
21-Mar-16,60.38,61.41,60.35,61.19,3628174
18-Mar-16,58.90,60.67,58.86,60.41,7376026
17-Mar-16,58.71,59.16,58.21,58.84,3279028
16-Mar-16,57.66,59.03,57.42,58.77,3665719
15-Mar-16,58.57,59.30,57.94,58.05,4730753
14-Mar-16,58.00,59.09,57.84,58.98,3942026
11-Mar-16,57.96,58.40,57.72,58.37,3111070
10-Mar-16,57.60,57.87,56.65,57.26,3509513
9-Mar-16,56.74,57.59,56.47,57.44,4755119
8-Mar-16,56.36,57.45,55.29,56.34,7842462
7-Mar-16,57.55,58.09,56.84,57.61,4918451
4-Mar-16,58.65,58.95,57.66,58.00,5763877
3-Mar-16,57.93,58.80,57.80,58.34,5188349
2-Mar-16,57.90,58.48,57.27,57.92,4848860
1-Mar-16,57.63,58.84,57.26,58.40,5216225
29-Feb-16,56.38,57.80,56.01,57.26,5602311
26-Feb-16,56.89,57.17,56.12,56.58,4498758
25-Feb-16,56.44,56.91,55.73,56.86,4655444
24-Feb-16,54.82,56.30,54.67,56.26,5594694
23-Feb-16,55.09,55.89,54.62,55.45,4308722
22-Feb-16,54.13,55.84,53.96,55.49,6656363
19-Feb-16,51.79,55.06,51.13,53.82,9727635
18-Feb-16,51.07,52.20,50.72,51.94,5571068
17-Feb-16,49.42,50.93,49.29,50.61,4212906
16-Feb-16,48.72,49.24,47.80,48.87,4579746
12-Feb-16,47.29,48.42,46.58,48.35,4094221
11-Feb-16,46.54,47.85,46.48,46.98,4913018
10-Feb-16,47.41,48.80,47.07,47.71,7832990
9-Feb-16,44.97,47.03,44.00,46.48,9071277
8-Feb-16,45.90,46.42,45.16,45.68,7682157
5-Feb-16,48.41,49.16,46.48,46.86,5156411
4-Feb-16,47.18,48.62,47.07,48.41,5701860
3-Feb-16,46.63,48.30,45.05,47.57,6489868
2-Feb-16,48.27,48.48,46.05,46.45,6546720
1-Feb-16,47.71,49.20,47.52,48.86,6718983
29-Jan-16,45.31,48.54,45.27,48.28,8686154
28-Jan-16,47.97,48.14,45.77,46.11,7769014
27-Jan-16,47.70,49.41,47.37,47.71,8071178
26-Jan-16,46.83,47.27,46.31,47.23,5594355
25-Jan-16,46.91,47.26,46.34,46.44,5571876
22-Jan-16,45.93,47.73,45.93,46.72,8287083
21-Jan-16,45.11,46.66,44.25,45.33,10284664
20-Jan-16,44.77,46.20,42.17,45.12,11767949
19-Jan-16,46.51,46.97,44.64,45.18,8455516
15-Jan-16,46.42,46.89,44.93,45.67,10905108
14-Jan-16,48.34,48.59,45.89,47.83,9801596
13-Jan-16,51.16,51.28,47.76,48.06,8022260
12-Jan-16,51.66,51.70,49.71,50.86,10054920
11-Jan-16,52.20,52.55,50.35,51.62,8451235
8-Jan-16,53.62,53.86,51.76,51.89,6365607
7-Jan-16,54.40,54.81,52.34,52.63,6095634
6-Jan-16,54.24,55.47,54.04,55.20,4902083
5-Jan-16,55.90,56.33,54.00,55.06,6982915
4-Jan-16,55.79,56.34,54.86,55.61,5592055
31-Dec-15,57.23,57.50,56.72,57.30,3516041
30-Dec-15,59.28,59.30,57.45,57.51,3182440
29-Dec-15,59.17,59.74,58.74,59.30,2317853
28-Dec-15,59.79,60.20,58.67,59.01,2521366
24-Dec-15,58.35,60.44,58.35,59.78,3015034
23-Dec-15,58.02,58.57,57.11,58.35,3381814
22-Dec-15,58.28,58.36,56.65,58.00,3921159
21-Dec-15,57.42,58.32,57.27,58.05,3303500
18-Dec-15,57.32,58.22,56.72,56.92,5017856
17-Dec-15,58.86,59.65,57.30,57.32,3997565
16-Dec-15,58.26,59.15,57.06,58.87,4188976
15-Dec-15,57.83,58.48,57.51,57.90,3675557
14-Dec-15,57.37,57.74,55.33,57.30,5643381
11-Dec-15,58.18,58.76,56.91,57.03,5041568
10-Dec-15,58.10,60.18,57.61,59.53,5095632
9-Dec-15,58.70,59.88,57.15,57.86,5138868
8-Dec-15,59.67,60.51,58.05,58.65,4668168
7-Dec-15,59.96,61.49,59.74,60.52,6911657
4-Dec-15,57.56,59.09,57.52,58.94,5126061
3-Dec-15,57.91,58.23,56.56,56.74,4111102
2-Dec-15,58.00,59.34,57.62,57.91,5345002
1-Dec-15,55.68,57.11,55.53,56.99,3918190
30-Nov-15,56.82,57.20,55.58,55.73,4938204
27-Nov-15,56.40,57.46,56.26,56.82,1638547
25-Nov-15,57.08,57.21,55.93,56.22,4622753
24-Nov-15,57.09,57.24,56.07,56.80,6913222
23-Nov-15,58.85,59.23,58.34,58.56,2597361
20-Nov-15,58.49,59.29,58.36,58.81,3543862
19-Nov-15,58.09,59.30,57.80,58.50,3292610
18-Nov-15,57.49,58.26,56.51,57.71,4643223
17-Nov-15,58.30,59.29,57.02,57.38,4387467
16-Nov-15,57.37,58.21,57.06,58.08,6011100
13-Nov-15,59.10,59.57,58.44,58.80,3052561
12-Nov-15,59.00,60.11,59.00,59.25,2668121
11-Nov-15,60.26,60.44,59.58,59.64,2242023
10-Nov-15,60.18,60.85,59.03,60.06,2659364
9-Nov-15,61.16,61.42,59.67,60.15,3468236
6-Nov-15,60.18,61.75,60.02,61.49,6503495
5-Nov-15,60.51,60.98,60.18,60.30,4623364
4-Nov-15,60.54,60.93,59.69,60.29,6003241
3-Nov-15,61.00,61.34,60.01,60.84,4877512
2-Nov-15,60.61,61.29,60.44,60.60,3999301
30-Oct-15,60.07,61.87,59.97,60.31,5519234
29-Oct-15,59.13,60.72,58.60,60.25,4243028
28-Oct-15,60.85,60.97,58.70,59.55,5732831
27-Oct-15,60.72,61.80,60.47,60.94,5591174
26-Oct-15,59.42,61.20,59.15,61.02,5978778
